KELOMPOK,KODE,KETERANGAN,ID_BAHAN,KOEFISIEN
b. Upah,SNI-F.6.52b,LANTAI 1,L.008,0.1
a. Bahan,SNI-F.6.52b,LANTAI 1,M.006,0.06
b. Upah,SNI-F.6.52c,LANTAI 1,L.010,0.05
b. Upah,SNI-F.6.52c,LANTAI 1,L.007,0.01
b. Upah,SNI-F.6.52c,LANTAI 1,L.002,0.1
b. Upah,SNI-F.6.52c,LANTAI 1,L.008,0.1
a. Bahan,SNI-F.6.52c,LANTAI 1,M.006,0.06
b. Upah,SNI-F.6.52d,LANTAI 1,L.010,0.05
a. Bahan,SNI-F.6.52b,LANTAI 1,M.005n,0.0086
a. Bahan,SNI-F.6.52c,LANTAI 1,M.005m,0.0086
a. Bahan,BOW-F.16,LANTAI 1,M.006,0.25
b. Upah,SNI-F.6.52d,LANTAI 1,L.007,0.01
b. Upah,SNI-F.6.52d,LANTAI 1,L.002,0.1
b. Upah,SNI-F.6.52d,LANTAI 1,L.008,0.1
a. Bahan,SNI-F.6.52d,LANTAI 1,M.006,0.06
a. Bahan,SNI-F.6.52d,LANTAI 1,M.005p,0.0086
a. Bahan,SNI-F.6.52a,LANTAI 1,M.005o,0.0086
b. Upah,BOW-F.16,LANTAI 1,L.002,0.1
b. Upah,BOW-F.16,LANTAI 1,L.007,0.01
b. Upah,BOW-F.16,LANTAI 1,L.008,0.1
b. Upah,BOW-F.16,LANTAI 1,L.010,0.005
a. Bahan,BOW-F.16a,LANTAI 1,M.005h,0.003
a. Bahan,BOW-F.16a,LANTAI 1,M.006,0.18
b. Upah,BOW-F.16a,LANTAI 1,L.002,0.075
b. Upah,BOW-F.16a,LANTAI 1,L.007,0.0075
b. Upah,BOW-F.16a,LANTAI 1,L.008,0.075
b. Upah,BOW-F.16a,LANTAI 1,L.010,0.0038
a. Bahan,BOW-F.16b,LANTAI 1,M.005h,0.012
a. Bahan,BOW-F.16b,LANTAI 1,M.006,0.25
b. Upah,BOW-F.16b,LANTAI 1,L.008,0.2
b. Upah,BOW-F.16b,LANTAI 1,L.007,0.02
b. Upah,BOW-F.16b,LANTAI 1,L.002,0.2
b. Upah,BOW-F.16b,LANTAI 1,L.010,0.01
b. Upah,BOW-F.16c,LANTAI 1,L.010,0.01
b. Upah,BOW-F.16c,LANTAI 1,L.002,0.2
b. Upah,BOW-F.16c,LANTAI 1,L.007,0.02
b. Upah,BOW-F.16c,LANTAI 1,L.008,0.2
a. Bahan,BOW-F.16c,LANTAI 1,M.006,0.25
b. Upah,BOW-F.16d,LANTAI 1,L.010,0.01
b. Upah,BOW-F.16d,LANTAI 1,L.002,0.2
b. Upah,BOW-F.16d,LANTAI 1,L.007,0.02
b. Upah,BOW-F.16d,LANTAI 1,L.008,0.2
a. Bahan,BOW-F.16d,LANTAI 1,M.006,0.25
a. Bahan,BOW-F.16c,LANTAI 1,M.005i,0.012
a. Bahan,BOW-F.16d,LANTAI 1,M.005j,0.012
a. Bahan,BOW-F.16e,LANTAI 1,M.006,0.25
b. Upah,BOW-F.16e,LANTAI 1,L.008,0.2
b. Upah,BOW-F.16e,LANTAI 1,L.007,0.02
b. Upah,BOW-F.16e,LANTAI 1,L.002,0.2
b. Upah,BOW-F.16e,LANTAI 1,L.010,0.01
a. Bahan,BOW-F.16e,LANTAI 1,M.005k,0.012
a. Bahan,BOW-F.16f,LANTAI 1,M.005h,0.012
a. Bahan,BOW-F.16f,LANTAI 1,M.006,0.1875
b. Upah,BOW-F.16f,LANTAI 1,L.002,0.075
b. Upah,BOW-F.16f,LANTAI 1,L.007,0.0075
b. Upah,BOW-F.16f,LANTAI 1,L.008,0.075
b. Upah,BOW-F.16f,LANTAI 1,L.010,0.0038
b. Upah,BOW-F.16g,LANTAI 1,L.010,0.0038
b. Upah,BOW-F.16g,LANTAI 1,L.008,0.075
b. Upah,BOW-F.16g,LANTAI 1,L.007,0.0075
b. Upah,BOW-F.16g,LANTAI 1,L.002,0.075
a. Bahan,BOW-F.16g,LANTAI 1,M.006,0.1875
a. Bahan,BOW-F.16g,LANTAI 1,M.005i,0.012
a. Bahan,BOW-F.16h,LANTAI 1,M.005F3,0.003
a. Bahan,BOW-F.16h,LANTAI 1,M.006,0.18
b. Upah,BOW-F.16h,LANTAI 1,L.002,0.075
b. Upah,BOW-F.16h,LANTAI 1,L.007,0.0075
b. Upah,BOW-F.16h,LANTAI 1,L.008,0.075
b. Upah,BOW-F.16h,LANTAI 1,L.010,0.0038
b. Upah,BOW-F.16i,LANTAI 1,L.010,0.0038
b. Upah,BOW-F.16i,LANTAI 1,L.008,0.075
b. Upah,BOW-F.16i,LANTAI 1,L.007,0.0075
b. Upah,BOW-F.16i,LANTAI 1,L.002,0.075
a. Bahan,BOW-F.16i,LANTAI 1,M.006,0.18
a. Bahan,BOW-F.16i,LANTAI 1,M.005i,0.003
a. Bahan,BOW-Supl.VIIIb,LANTAI 1,M.007,1.1
a. Bahan,BOW-Supl.VIIIb,LANTAI 1,M.006A,0.02
b. Upah,BOW-Supl.VIIIb,LANTAI 1,L.008,0.2
b. Upah,BOW-Supl.VIIIb,LANTAI 1,L.010,0.02
a. Bahan,BOW-F.36a,LANTAI 1,M.005m,0.018
a. Bahan,BOW-F.36a,LANTAI 1,M.008a,0.7
a. Bahan,BOW-F.36a,LANTAI 1,M.006A,0.02
b. Upah,BOW-F.36a,LANTAI 1,L.002,6
b. Upah,BOW-F.36a,LANTAI 1,L.007,0.6
b. Upah,BOW-F.36a,LANTAI 1,L.008,2
b. Upah,BOW-F.36a,LANTAI 1,L.010,0.1
a. Bahan,BOW-F.36b,LANTAI 1,M.005m,0.016
a. Bahan,BOW-F.36b,LANTAI 1,M.008a,0.7
a. Bahan,BOW-F.36b,LANTAI 1,M.006A,0.02
b. Upah,BOW-F.36b,LANTAI 1,L.002,4
b. Upah,BOW-F.36b,LANTAI 1,L.007,0.4
b. Upah,BOW-F.36b,LANTAI 1,L.008,1.33
b. Upah,BOW-F.36b,LANTAI 1,L.010,0.06
a. Bahan,BOW-F.36c,LANTAI 1,M.005n,0.018
a. Bahan,BOW-F.36c,LANTAI 1,M.008a,0.7
a. Bahan,BOW-F.36c,LANTAI 1,M.006A,0.02
b. Upah,BOW-F.36c,LANTAI 1,L.002,6
b. Upah,BOW-F.36c,LANTAI 1,L.007,0.6
b. Upah,BOW-F.36c,LANTAI 1,L.008,2
b. Upah,BOW-F.36c,LANTAI 1,L.010,0.1
b. Upah,BOW-F.36d,LANTAI 1,L.010,0.1
b. Upah,BOW-F.36d,LANTAI 1,L.008,2
b. Upah,BOW-F.36d,LANTAI 1,L.007,0.6
b. Upah,BOW-F.36d,LANTAI 1,L.002,6
a. Bahan,BOW-F.36d,LANTAI 1,M.006A,0.02
a. Bahan,BOW-F.36d,LANTAI 1,M.008a,0.7
b. Upah,BOW-F.36e,LANTAI 1,L.010,0.1
b. Upah,BOW-F.36e,LANTAI 1,L.008,2
b. Upah,BOW-F.36e,LANTAI 1,L.007,0.6
b. Upah,BOW-F.36e,LANTAI 1,L.002,6
a. Bahan,BOW-F.36e,LANTAI 1,M.006A,0.02
a. Bahan,BOW-F.36e,LANTAI 1,M.008a,0.7
a. Bahan,BOW-F.36d,LANTAI 1,M.005o,0.018
a. Bahan,BOW-F.36e,LANTAI 1,M.005p,0.018
a. Bahan,BOW-F.36f,LANTAI 1,M.005m,0.012
a. Bahan,BOW-F.36f,LANTAI 1,M.008,0.7
a. Bahan,BOW-F.36f,LANTAI 1,M.006A,0.02
b. Upah,BOW-F.36f,LANTAI 1,L.002,4.5
b. Upah,BOW-F.36f,LANTAI 1,L.007,0.45
b. Upah,BOW-F.36f,LANTAI 1,L.008,1.5
b. Upah,BOW-F.36f,LANTAI 1,L.010,0.075
b. Upah,BOW-F.36h,LANTAI 1,L.010,0.075
b. Upah,BOW-F.36h,LANTAI 1,L.008,1.5
b. Upah,BOW-F.36h,LANTAI 1,L.007,0.45
b. Upah,BOW-F.36h,LANTAI 1,L.002,4.5
a. Bahan,BOW-F.36h,LANTAI 1,M.006A,0.02
a. Bahan,BOW-F.36h,LANTAI 1,M.008,0.7
b. Upah,BOW-F.36i,LANTAI 1,L.010,0.075
b. Upah,BOW-F.36i,LANTAI 1,L.008,1.5
b. Upah,BOW-F.36i,LANTAI 1,L.007,0.45
b. Upah,BOW-F.36i,LANTAI 1,L.002,4.5
a. Bahan,BOW-F.36i,LANTAI 1,M.006A,0.02
a. Bahan,BOW-F.36i,LANTAI 1,M.008,0.7
b. Upah,BOW-F.36j,LANTAI 1,L.010,0.075
b. Upah,BOW-F.36j,LANTAI 1,L.008,1.5
b. Upah,BOW-F.36j,LANTAI 1,L.007,0.45
b. Upah,BOW-F.36j,LANTAI 1,L.002,4.5
a. Bahan,BOW-F.36j,LANTAI 1,M.006A,0.02
a. Bahan,BOW-F.36j,LANTAI 1,M.008,0.7
a. Bahan,BOW-F.36g,LANTAI 1,M.005m,0.012
a. Bahan,BOW-F.36i,LANTAI 1,M.005o,0.012
a. Bahan,BOW-F.36j,LANTAI 1,M.005p,0.012
a. Bahan,BOW-F.36k,LANTAI 1,M.005p,0.018
a. Bahan,BOW-F.36g,LANTAI 1,M.008,0.7
a. Bahan,BOW-F.36g,LANTAI 1,M.006A,0.02
b. Upah,BOW-F.36g,LANTAI 1,L.002,3
b. Upah,BOW-F.36g,LANTAI 1,L.007,0.3
b. Upah,BOW-F.36g,LANTAI 1,L.008,1
b. Upah,BOW-F.36g,LANTAI 1,L.010,0.05
a. Bahan,BOW-F.36h,LANTAI 1,M.005n,0.012
a. Bahan,BOW-F.36k,LANTAI 1,M.009b,0.7
b. Upah,BOW-F.36k,LANTAI 1,L.002,4
b. Upah,BOW-F.36k,LANTAI 1,L.007,0.4
b. Upah,BOW-F.36k,LANTAI 1,L.008,1.33
b. Upah,BOW-F.36k,LANTAI 1,L.010,0.066
b. Upah,BOW-F.36l,LANTAI 1,L.010,0.066
b. Upah,BOW-F.36l,LANTAI 1,L.008,1.33
b. Upah,BOW-F.36l,LANTAI 1,L.007,0.4
b. Upah,BOW-F.36l,LANTAI 1,L.002,4
a. Bahan,BOW-F.36l,LANTAI 1,M.009b,0.7
b. Upah,BOW-F.36m,LANTAI 1,L.010,0.066
b. Upah,BOW-F.36m,LANTAI 1,L.008,1.33
b. Upah,BOW-F.36m,LANTAI 1,L.007,0.4
b. Upah,BOW-F.36m,LANTAI 1,L.002,4
a. Bahan,BOW-F.36m,LANTAI 1,M.009b,0.7
b. Upah,BOW-F.36n,LANTAI 1,L.010,0.066
b. Upah,BOW-F.36n,LANTAI 1,L.008,1.33
b. Upah,BOW-F.36n,LANTAI 1,L.007,0.4
b. Upah,BOW-F.36n,LANTAI 1,L.002,4
a. Bahan,BOW-F.36n,LANTAI 1,M.009b,0.7
a. Bahan,BOW-F.36l,LANTAI 1,M.005m,0.018
a. Bahan,BOW-F.36m,LANTAI 1,M.005n,0.018
a. Bahan,BOW-F.36n,LANTAI 1,M.005o,0.018
a. Bahan,BOW-K.6+23,LANTAI 1,M.011b,0.4
b. Upah,BOW-K.6+23,LANTAI 1,L.004,0.1875
b. Upah,BOW-K.6+23,LANTAI 1,L.007,0.0188
b. Upah,BOW-K.6+23,LANTAI 1,L.008,0.125
b. Upah,BOW-K.6+23,LANTAI 1,L.010,0.0062
b. Upah,BOW-K.6+23a,LANTAI 1,L.010,0.0062
b. Upah,BOW-K.6+23a,LANTAI 1,L.008,0.125
b. Upah,BOW-K.6+23a,LANTAI 1,L.007,0.0188
b. Upah,BOW-K.6+23a,LANTAI 1,L.004,0.1875
b. Upah,BOW-K.6+23b,LANTAI 1,L.010,0.0062
b. Upah,BOW-K.6+23b,LANTAI 1,L.008,0.125
b. Upah,BOW-K.6+23b,LANTAI 1,L.007,0.0188
b. Upah,BOW-K.6+23b,LANTAI 1,L.004,0.1875
b. Upah,BOW-K.6+23c,LANTAI 1,L.010,0.0062
b. Upah,BOW-K.6+23c,LANTAI 1,L.008,0.125
b. Upah,BOW-K.6+23c,LANTAI 1,L.007,0.0188
b. Upah,BOW-K.6+23c,LANTAI 1,L.004,0.1875
a. Bahan,BOW-K.6+23a,LANTAI 1,M.011c,0.4
a. Bahan,BOW-K.6+23b,LANTAI 1,M.011d,0.4
a. Bahan,BOW-K.6+23c,LANTAI 1,M.011e,0.3
a. Bahan,BOW-F.8,LANTAI 1,M.005a,0.04
a. Bahan,BOW-F.8,LANTAI 1,M.006,0.4
b. Upah,BOW-F.8,LANTAI 1,L.002,0.5
b. Upah,BOW-F.8,LANTAI 1,L.007,0.05
b. Upah,BOW-F.8,LANTAI 1,L.008,0.2
b. Upah,BOW-F.8,LANTAI 1,L.010,0.01
b. Upah,BOW-F.8,LANTAI 1,L.009,0.4
a. Bahan,BOW-G.13,LANTAI 1,M.002a,874.45
a. Bahan,BOW-G.13,LANTAI 1,M.001a,0.7
a. Bahan,BOW-G.14,LANTAI 1,M.002a,587.2
a. Bahan,BOW-G.14,LANTAI 1,M.001a,0.95
b. Upah,BOW-G.77,LANTAI 1,L.008,6
b. Upah,BOW-G.77,LANTAI 1,L.011,4
b. Upah,BOW-G.77,LANTAI 1,L.007,0.4
b. Upah,BOW-G.77,LANTAI 1,L.010,0.3
a. Bahan,BOW-Supl.IVa,LANTAI 1,M.004r,1
a. Bahan,SNI-E.6.16,LANTAI 2,M.001a,0.028
a. Bahan,SNI-E.6.16,LANTAI 2,M.002a,7.29
b. Upah,SNI-E.6.3,LANTAI 2,L.010,0.011
b. Upah,SNI-E.6.3,LANTAI 2,L.007,0.0165
b. Upah,SNI-E.6.3,LANTAI 2,L.001,0.165
b. Upah,SNI-E.6.3,LANTAI 2,L.008,0.22
a. Bahan,SNI-E.6.3,LANTAI 2,M.001a,0.019
a. Bahan,SNI-E.6.3,LANTAI 2,M.002a,6.48
a. Bahan,SNI-F.6.2a,LANTAI 2,M.005d,1.2
b. Upah,SNI-F.6.2a,LANTAI 2,L.010,0.33
b. Upah,SNI-F.6.2a,LANTAI 2,L.007,2.2
b. Upah,SNI-F.6.2a,LANTAI 2,L.002,19.8
b. Upah,SNI-F.6.2a,LANTAI 2,L.008,6.6
a. Bahan,BOW-F.36m,LANTAI 2,M.005n,0.018
a. Bahan,BOW-F.36m,LANTAI 2,M.009b,0.7
b. Upah,BOW-F.36m,LANTAI 2,L.002,4.4
b. Upah,BOW-F.36m,LANTAI 2,L.007,0.44
b. Upah,BOW-F.36m,LANTAI 2,L.008,1.463
b. Upah,BOW-F.36m,LANTAI 2,L.010,0.0726
a. Bahan,BOW-F.36h,LANTAI 2,M.005n,0.012
a. Bahan,BOW-F.36h,LANTAI 2,M.008,0.7
a. Bahan,BOW-F.36h,LANTAI 2,M.006A,0.02
b. Upah,BOW-F.36h,LANTAI 2,L.002,4.95
b. Upah,BOW-F.36h,LANTAI 2,L.007,0.495
b. Upah,BOW-F.36h,LANTAI 2,L.008,1.65
b. Upah,BOW-F.36h,LANTAI 2,L.010,0.0825
a. Bahan,BOW-F.16c,LANTAI 2,M.005i,0.012
a. Bahan,BOW-F.16c,LANTAI 2,M.006,0.25
b. Upah,BOW-F.16c,LANTAI 2,L.008,0.22
b. Upah,BOW-F.16c,LANTAI 2,L.007,0.022
b. Upah,BOW-F.16c,LANTAI 2,L.002,0.22
b. Upah,BOW-F.16c,LANTAI 2,L.010,0.011
a. Bahan,SNI-F.6.28a,LANTAI 2,M.005f,1.1
a. Bahan,SNI-F.6.28a,LANTAI 2,M.003d,15
a. Bahan,SNI-F.6.28a,LANTAI 2,M.006,0.8
b. Upah,SNI-F.6.28a,LANTAI 2,L.008,4.4
b. Upah,SNI-F.6.28a,LANTAI 2,L.002,13.2
b. Upah,SNI-F.6.28a,LANTAI 2,L.007,1.32
b. Upah,SNI-F.6.28a,LANTAI 2,L.010,0.22
a. Bahan,SNI-F.6.35a,LANTAI 2,M.005i,0.014
a. Bahan,SNI-F.6.35a,LANTAI 2,M.006,0.15
b. Upah,SNI-F.6.35a,LANTAI 2,L.008,0.11
b. Upah,SNI-F.6.35a,LANTAI 2,L.002,0.11
b. Upah,SNI-F.6.35a,LANTAI 2,L.007,0.011
b. Upah,SNI-F.6.35a,LANTAI 2,L.010,0.0055
b. Upah,SNI-G.6.13,LANTAI 2,L.010,1.1
b. Upah,SNI-G.6.13,LANTAI 2,L.007,0.0385
b. Upah,SNI-G.6.13,LANTAI 2,L.001,0.385
b. Upah,SNI-G.6.13,LANTAI 2,L.008,2.2
a. Bahan,SNI-G.6.13,LANTAI 2,M.001g,0.81
a. Bahan,SNI-G.6.13,LANTAI 2,M.001,0.54
a. Bahan,SNI-G.6.13,LANTAI 2,M.002a,336
b. Upah,SNI-G.6.25,LANTAI 2,L.010,0.0003
b. Upah,SNI-G.6.25,LANTAI 2,L.007,0.0008
b. Upah,SNI-G.6.25,LANTAI 2,L.003,0.0077
b. Upah,SNI-G.6.25,LANTAI 2,L.008,0.0077
a. Bahan,SNI-G.6.25,LANTAI 2,M.003a,0.015
a. Bahan,SNI-G.6.25,LANTAI 2,M.003,1.05
a. Bahan,SNI-G.6.29,LANTAI 2,M.005a,0.045
a. Bahan,SNI-G.6.29,LANTAI 2,M.006,0.3
b. Upah,SNI-G.6.29,LANTAI 2,L.008,0.33
b. Upah,SNI-G.6.29,LANTAI 2,L.002,0.286
b. Upah,SNI-G.6.29,LANTAI 2,L.007,0.0286
b. Upah,SNI-G.6.29,LANTAI 2,L.010,0.0055
a. Bahan,SNI-G.6.32,LANTAI 2,M.005a,0.04
a. Bahan,SNI-G.6.32,LANTAI 2,M.006,0.4
b. Upah,SNI-G.6.32,LANTAI 2,L.008,0.352
b. Upah,SNI-G.6.32,LANTAI 2,L.002,0.363
b. Upah,SNI-G.6.32,LANTAI 2,L.007,0.0363
b. Upah,SNI-G.6.32,LANTAI 2,L.010,0.0066
a. Bahan,SNI-G.6.32,LANTAI 2,M.005g,0.015
a. Bahan,SNI-G.6.32,LANTAI 2,M.009c,0.35
a. Bahan,SNI-G.6.32,LANTAI 2,M.005s,6
b. Upah,SNI-G.6.46,LANTAI 2,L.010,0.0055
b. Upah,SNI-G.6.46,LANTAI 2,L.003,0.0363
b. Upah,SNI-G.6.46,LANTAI 2,L.007,0.011
b. Upah,SNI-G.6.46,LANTAI 2,L.002,0.0363
b. Upah,SNI-G.6.46,LANTAI 2,L.001,0.0363
b. Upah,SNI-G.6.46,LANTAI 2,L.008,0.11
a. Bahan,SNI-G.6.46,LANTAI 2,M.001g,0.015
a. Bahan,SNI-G.6.46,LANTAI 2,M.001,0.009
a. Bahan,SNI-G.6.46,LANTAI 2,M.002a,5.5
a. Bahan,SNI-G.6.46,LANTAI 2,M.003a,0.05
a. Bahan,SNI-G.6.46,LANTAI 2,M.003,3.6
a. Bahan,SNI-G.6.46,LANTAI 2,M.006,0.02
a. Bahan,SNI-G.6.46,LANTAI 2,M.005a,0.003
b. Upah,SNI-H.6.30,LANTAI 2,L.010,0.011
b. Upah,SNI-H.6.30,LANTAI 2,L.007,0.011
b. Upah,SNI-H.6.30,LANTAI 2,L.002,0.11
b. Upah,SNI-H.6.30,LANTAI 2,L.008,0.22
a. Bahan,SNI-H.6.30,LANTAI 2,M.006,0.03
a. Bahan,SNI-H.6.30,LANTAI 2,M.010j,11
b. Upah,SNI-H.6.34,LANTAI 2,L.010,0.022
b. Upah,SNI-H.6.34,LANTAI 2,L.007,0.022
b. Upah,SNI-H.6.34,LANTAI 2,L.002,0.22
b. Upah,SNI-H.6.34,LANTAI 2,L.008,0.44
a. Bahan,SNI-H.6.34,LANTAI 2,M.002b,1
a. Bahan,SNI-H.6.34,LANTAI 2,M.001a,0.032
a. Bahan,SNI-H.6.34,LANTAI 2,M.002a,10.8
a. Bahan,SNI-H.6.34,LANTAI 2,M.006,0.05
a. Bahan,SNI-H.6.34,LANTAI 2,M.010i,3.5
b. Upah,SNI-I.6.24,LANTAI 2,L.010,0.0055
b. Upah,SNI-I.6.24,LANTAI 2,L.007,0.0055
b. Upah,SNI-I.6.24,LANTAI 2,L.002,0.055
b. Upah,SNI-I.6.24,LANTAI 2,L.008,0.11
a. Bahan,SNI-I.6.24,LANTAI 2,M.006h,0.11
a. Bahan,SNI-I.6.24,LANTAI 2,M.007b,0.364
a. Bahan,SNI-F.6.39a,LANTAI 2,M.005i,0.012
a. Bahan,SNI-F.6.39a,LANTAI 2,M.006,0.1
b. Upah,SNI-F.6.39a,LANTAI 2,L.008,0.165
b. Upah,SNI-F.6.39a,LANTAI 2,L.002,0.275
b. Upah,SNI-F.6.39a,LANTAI 2,L.007,0.0275
b. Upah,SNI-F.6.39a,LANTAI 2,L.010,0.0825
a. Bahan,SNI-L.6.47e,LANTAI 2,M.002a,11.38
a. Bahan,SNI-L.6.47e,LANTAI 2,M.001a,0.042
a. Bahan,SNI-L.6.47e,LANTAI 2,M.002b,1.5
b. Upah,SNI-L.6.47e,LANTAI 2,L.008,0.682
b. Upah,SNI-L.6.47e,LANTAI 2,L.001,0.385
b. Upah,SNI-L.6.47e,LANTAI 2,L.007,0.0385
b. Upah,SNI-L.6.47e,LANTAI 2,L.010,0.033
a. Bahan,SNI-L.6.47e,LANTAI 2,M.004f,12
b. Upah,BOW-K.6+23,LANTAI 2,L.010,0.0068
b. Upah,BOW-K.6+23,LANTAI 2,L.008,0.1375
b. Upah,BOW-K.6+23,LANTAI 2,L.007,0.0207
b. Upah,BOW-K.6+23,LANTAI 2,L.004,0.2062
a. Bahan,BOW-K.6+23,LANTAI 2,M.011b,0.4
a. Bahan,SNI-M.6.14b,LANTAI 2,M.011b,0.36
a. Bahan,SNI-M.6.14b,LANTAI 2,M.012a,0.1
b. Upah,SNI-M.6.14b,LANTAI 2,L.008,0.022
b. Upah,SNI-M.6.14b,LANTAI 2,L.004,0.0693
b. Upah,SNI-M.6.14b,LANTAI 2,L.007,0.0069
b. Upah,SNI-M.6.14b,LANTAI 2,L.010,0.0028
b. Upah,SNI-M.6.8,LANTAI 2,L.010,0.0028
b. Upah,SNI-M.6.8,LANTAI 2,L.007,0.0066
b. Upah,SNI-M.6.8,LANTAI 2,L.004,0.0099
b. Upah,SNI-M.6.8,LANTAI 2,L.008,0.077
a. Bahan,SNI-M.6.8,LANTAI 2,M.011,0.43
a. Bahan,SNI-M.6.8,LANTAI 2,M.012b,0.15
a. Bahan,SNI-M.6.8,LANTAI 2,M.011f,0.2
a. Bahan,SNI-G.6.30,LANTAI 2,M.005s,2
a. Bahan,SNI-G.6.30,LANTAI 2,M.009c,0.35
a. Bahan,SNI-G.6.30,LANTAI 2,M.005g,0.015
b. Upah,SNI-G.6.30,LANTAI 2,L.010,0.0066
b. Upah,SNI-G.6.30,LANTAI 2,L.007,0.0363
b. Upah,SNI-G.6.30,LANTAI 2,L.002,0.363
b. Upah,SNI-G.6.30,LANTAI 2,L.008,0.33
a. Bahan,SNI-G.6.30,LANTAI 2,M.006,0.4
a. Bahan,SNI-G.6.30,LANTAI 2,M.005a,0.04
